"ACTIVE","ASSET","CBSA","CHARTER","COUNTY","ESTYMD","ID","NAME","OFFICES","STNAME","UNINUM","WEBADDR","ZIP"
1,19412996,"St. Louis, MO-IL","0","St. Louis City","04/16/2002","57311","Stifel Bank and Trust",2,"Missouri","361248","www.stifelbank.com","63102"
1,231855,"Las Vegas-Henderson-Paradise, NV","0","Clark","04/15/2002","57312","Town & Country Bank",5,"Nevada","361252","www.tcbanknv.bank","89147"
1,291178,"Greeley, CO","0","Weld","12/28/2001","57335","Farmers Bank",2,"Colorado","362098","www.farmersbank-weld.com","80610"
1,255833,"Minneapolis-St. Paul-Bloomington, MN-WI","0","Ramsey","05/01/2002","57336","Drake Bank",1,"Minnesota","362102","www.drake-bank.com","55107"
1,3482560,"Knoxville, TN","0","Knox","04/29/2002","57348","SouthEast Bank",15,"Tennessee","362261","www.southeastbank.com","37934"
1,11735326,"St. Louis, MO-IL","0","St. Louis City","05/16/2002","57358","Stifel Bank",1,"Missouri","362429","www.stifelbankstl.com","63102"
1,496927,"Chicago-Naperville-Elgin, IL-IN-WI","0","Kane","10/17/2002","57359","American Eagle Bank",2,"Illinois","362437","www.americaneaglebank.com","60177"
1,28550,"Cheyenne, WY","0","Laramie","08/08/2002","57363","Cheyenne State Bank",1,"Wyoming","362542","http://www.cheyennestatebank.com","82001"
1,3353033,,"0","Western Connecticut","04/22/2002","57368","Bankwell Bank",9,"Connecticut","362641","www.mybankwell.com","06840"
1,2788916,"Miami-Fort Lauderdale-Pompano Beach, FL","0","Miami-Dade","10/28/2002","57369","U. S. Century Bank",10,"Florida","362653","www.uscentury.com","33172"
1,449569,"Newport, OR","0","Lincoln","07/08/2002","57373","Oregon Coast Bank",7,"Oregon","362753","www.oregoncoastbank.com","97365"
1,14177,"Providence-Warwick, RI-MA","0","Kent","03/25/2003","57379","Independence Bank",1,"Rhode Island","362883","www.independence-bank.com","02818"
1,122915,"Marshalltown, IA","0","Marshall","06/21/2002","57391","United Bank & Trust Co.",2,"Iowa","363051","www.bankubt.com","50158"
1,220404,,"0","Lincoln","07/22/2002","57396","Bank of Lincoln County",3,"Tennessee","363130","http://www.bolconline.com","37334"
1,20824000,"Salt Lake City, UT","0","Salt Lake","07/21/2003","57408","Optum Bank, Inc.",1,"Utah","363231","www.optumbank.com","84020"
1,611422,"Dallas-Fort Worth-Arlington, TX","0","Tarrant","11/21/2002","57414","Worthington Bank",5,"Texas","363318","www.worthington.bank","76010"
1,1652914,"Lexington-Fayette, KY","24349","Fayette","10/01/2002","57415","Forcht Bank, National Association",24,"Kentucky","363357","www.forchtbank.com","40509"
1,426185,"Memphis, TN-MS-AR","0","Shelby","10/09/2002","57416","Patriot Bank",10,"Tennessee","363408","www.patriot-bank.com","38053"
1,3701611,"Los Angeles-Long Beach-Anaheim, CA","0","Orange","05/15/2003","57417","Commercial Bank of California",10,"California","363419","http://www.cbcal.com","92612"
1,189749,,"0","Covington City","09/16/2002","57420","Highlands Community Bank",3,"Virginia","363478","www.hc.bank","24426"
1,1011843,"Cape Coral-Fort Myers, FL","0","Lee","01/21/2003","57425","Sanibel Captiva Community Bank",8,"Florida","363517","http://www.sancapbank.com","33957"
1,188931,"Orlando-Kissimmee-Sanford, FL","0","Orange","02/03/2003","57429","Commerce Bank & Trust",1,"Florida","363538","www.cbt-fl.com","32789"
1,2503451,"Chicago-Naperville-Elgin, IL-IN-WI","25200","Lake","01/01/1926","5744","State Bank of the Lakes, National Association",10,"Illinois","3917","www.sbotl.com","60002"
1,378189,"Los Angeles-Long Beach-Anaheim, CA","0","Los Angeles","10/06/2003","57444","American Continental Bank",7,"California","363724","http://www.americancontinentalbank.com","91748"
1,2620589,"Salt Lake City, UT","0","Salt Lake","12/22/2003","57449","Medallion Bank",1,"Utah","363796","www.medallionbank.com","84121"
1,253772000,"Dallas-Fort Worth-Arlington, TX","0","Denton","04/28/2003","57450","Charles Schwab Bank, SSB",1,"Texas","363798","www.schwabbank.com","76262"
1,1092309,"Seattle-Tacoma-Bellevue, WA","0","King","01/01/1953","57451","Sound Community Bank",10,"Washington","363806","http://www.soundcb.com","98121"
1,3280733,"Los Angeles-Long Beach-Anaheim, CA","0","Los Angeles","09/18/2003","57463","PCB Bank",19,"California","363895","https://www.mypcbbank.com","90010"
1,892579,"Lewisburg, TN","0","Marshall","12/02/2002","57465","First Commerce Bank",6,"Tennessee","363918","www.firstcommercebank.net","37091"
1,98369,"Owatonna, MN","0","Steele","01/13/2003","57468","Community Bank Owatonna",1,"Minnesota","363965","WWW.CBOWATONNA.COM","55060"
1,34004,"Tampa-St. Petersburg-Clearwater, FL","717944","Hillsborough","10/30/2003","57470","Members Trust Company",4,"Florida","363982","www.memberstrust.com","33637"
1,1088715,"Albertville, AL","0","Marshall","03/03/2003","57483","Citizens Bank & Trust",10,"Alabama","364141","http://www.citizensbanktrust.com","35976"
1,1662075,"Rockford, IL","0","Winnebago","01/06/1907","5749","Foresight Bank",14,"Illinois","3921","www.ffgbank.com","61088"
1,351911,"Duncan, OK","0","Stephens","12/16/2002","57491","Bank of Commerce",6,"Oklahoma","364270","www.bocokonline.com","73533"
1,290358,"Austin-Round Rock-Georgetown, TX","0","Travis","05/09/2003","57495","PrimeBank of Texas",3,"Texas","364331","https://www.prime.bank","78746"
1,1416480,"Syracuse, NY","0","Oswego","10/25/2002","57497","Pathfinder Bank",13,"New York","364350","http://www.PATHFINDERBANK.com","13126"
1,602611,"Sioux City, IA-NE-SD","24378","Woodbury","03/17/2003","57505","Liberty National Bank",10,"Iowa","364412","www.libertynational.bank","51106"
1,2562570,"San Jose-Sunnyvale-Santa Clara, CA","0","Santa Clara","10/01/2003","57510","Avidbank",3,"California","364542","www.avidbank.com","95112"
1,932697,"Kokomo, IN","0","Howard","02/03/2003","57511","Community First Bank of Indiana",8,"Indiana","364552","www.cfbindiana.com","46901"
1,92735703,"Phoenix-Mesa-Chandler, AZ","0","Maricopa","02/03/2003","57512","Western Alliance Bank",37,"Arizona","364554","www.westernalliancebancorporation.com","85004"
1,1010913,"Dallas-Fort Worth-Arlington, TX","0","Dallas","02/03/2003","57522","Tolleson Private Bank",2,"Texas","364830","www.tollesonwealth.com","75205"
1,198618,,"0","Carroll","01/01/1920","5753","Fidelity Bank",6,"Illinois","3925","www.fidelity-bank.com","61074"
1,639597,"Birmingham-Hoover, AL","0","Blount","10/20/2003","57540","The Hometown Bank of Alabama",5,"Alabama","365306","www.HomeTownBankAlabama.com","35121"
1,15431880,"Las Vegas-Henderson-Paradise, NV","0","Clark","08/16/2004","57542","Toyota Financial Savings Bank",1,"Nevada","365430","www.toyotabank.com","89074"
1,553357,"Dallas-Fort Worth-Arlington, TX","24397","Tarrant","05/28/2003","57543","Trinity Bank, N.A.",1,"Texas","365431","http://WWW.TRINITYBK.COM","76107"
1,311150,"Topeka, KS","0","Shawnee","04/14/2003","57548","Heritage Bank",3,"Kansas","365454","www.heritagebankonline.com","66614"
1,856183,"Cullman, AL","0","Cullman","08/04/2003","57554","Traditions Bank",6,"Alabama","365489","www.traditionsal.com","35055"
1,119317920,"Salt Lake City, UT","0","Salt Lake","09/15/2003","57565","UBS Bank USA",1,"Utah","365628","http://www.ubs.com/cefs/en/ubs-bank-usa/ubs-bank-usa.html","84111"
1,196920,,"0","Marion","07/23/2004","57569","PeoplesTrust Bank",3,"Alabama","365644","www.peoplestrustbk.com","35570"
1,13626906,"Salt Lake City, UT","0","Salt Lake","12/01/2003","57570","Comenity Capital Bank",1,"Utah","365652","Savings.Breadfinancial.com","84020"
1,187809,"Salt Lake City, UT","0","Salt Lake","11/03/2003","57571","Continental Bank",1,"Utah","365653","http://www.cbankus.com","84101"
1,425932,"Lebanon, MO","0","Laclede","09/22/2003","57576","Heritage Bank of the Ozarks",3,"Missouri","365828","http://www.heritagebankozarks.com","65536"
1,247629,,"0","Appling","05/11/2004","57579","Community Bank of Georgia",2,"Georgia","365884","www.communitybankga.com","31513"
1,953547,"Los Angeles-Long Beach-Anaheim, CA","0","Los Angeles","12/01/2003","57585","Golden State Bank",3,"California","366070","www.goldenstatebank.com","91203"
1,445277,"Colorado Springs, CO","0","El Paso","08/11/2003","57587","Integrity Bank & Trust",6,"Colorado","366145","www.integritybankandtrust.com","80132"
1,2883698,"Santa Cruz-Watsonville, CA","0","Santa Cruz","02/03/2004","57591","West Coast Community Bank",10,"California","366199","www.wccb.com","95060"
1,911121,"Deltona-Daytona Beach-Ormond Beach, FL","0","Volusia","10/24/2003","57598","Mainstreet Community Bank of Florida",9,"Florida","366287","www.bankonmainstreet.com","32720"
1,920918,"St. Cloud, MN","24373","Benton","07/01/2003","57603","Falcon National Bank",6,"Minnesota","366359","www.falconnational.com","56329"
1,3151853,"Denver-Aurora-Lakewood, CO","0","Denver","03/17/2004","57607","First Western Trust Bank",15,"Colorado","418417","www.myfw.com","80202"
1,531608,"Eureka-Arcata, CA","0","Humboldt","03/01/2004","57610","Redwood Capital Bank",4,"California","418420","http://www.rdwo.com","95501"
1,7918576,"Washington-Arlington-Alexandria, DC-VA-MD-WV","0","Montgomery","10/17/2003","57614","Forbright Bank",3,"Maryland","418493","WWW.FORBRIGHTBANK.COM","20854"
1,266271,,"0","Clarion","01/07/2004","57624","Clarion County Community Bank",5,"Pennsylvania","418695","http://www.clarionbank.com","16214"
1,480460,"Saginaw, MI","0","Saginaw","04/12/2004","57626","1st State Bank",5,"Michigan","418761","www.1ststate.bank","48604"
1,227704,"McMinnville, TN","0","Warren","11/24/2003","57632","Homeland Community Bank",4,"Tennessee","418823","http://www.homelandcb.com","37110"
1,3196183,"Seattle-Tacoma-Bellevue, WA","0","Snohomish","04/01/2004","57633","1st Security Bank of Washington",30,"Washington","418874","WWW.FSBWA.com","98043"
1,95547,"Jasper, AL","0","Walker","03/29/2004","57640","Bank of Walker County",2,"Alabama","418989","www.bankofwalkercounty.bank","35501"
